PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2021,TotalGenFixedCosts,annual,40164790.39490178,40968086.20279973
2021,StorageEnergyInstallCosts,annual,64490.20498050425,65780.00908011419
2022,TotalGenFixedCosts,annual,39942400.18612889,41556073.15364841
2022,StorageEnergyInstallCosts,annual,63225.6911573571,65780.00908011419
2023,TotalGenFixedCosts,annual,25110435.466261074,26647395.00027993
2023,StorageEnergyInstallCosts,annual,61985.971722899114,65780.00908011419
2024,TotalGenFixedCosts,annual,25398617.075790796,27492279.942361057
2024,StorageEnergyInstallCosts,annual,60770.5605126462,65780.00908011419
2025,TotalGenFixedCosts,annual,25273720.46524477,27904229.591119666
2025,StorageEnergyInstallCosts,annual,59578.98089475118,65780.00908011419
2026,TotalGenFixedCosts,annual,27367632.67710897,30820399.425181475
2026,StorageEnergyInstallCosts,annual,58410.765583089385,65780.00908011419
2027,TotalGenFixedCosts,annual,26831012.428538203,30820399.425181475
2027,StorageEnergyInstallCosts,annual,57265.456454009196,65780.00908011419
2028,TotalGenFixedCosts,annual,26410239.275786687,30943804.60198989
2028,StorageEnergyInstallCosts,annual,56142.60436667568,65780.00908011419
2029,TotalGenFixedCosts,annual,25707325.119205043,30722633.20911955
2029,StorageEnergyInstallCosts,annual,55041.76898693694,65780.00908011419
2030,TotalGenFixedCosts,annual,25855986.380216464,31518303.120944247
2030,StorageEnergyInstallCosts,annual,53962.51861464406,65780.00908011419
2021,GenVariableOMCostsInTP,timepoint,0.0,0.0
2021,FuelCostsPerTP,timepoint,16897437.063304447,17235385.8045705
2022,GenVariableOMCostsInTP,timepoint,0.0,0.0
2022,FuelCostsPerTP,timepoint,16488179.184701588,17154301.623763498
2023,GenVariableOMCostsInTP,timepoint,289543.6657846534,307266.0544799998
2023,FuelCostsPerTP,timepoint,15341453.168909457,16280472.834472034
2024,GenVariableOMCostsInTP,timepoint,282110.1808172446,305365.13237999997
2024,FuelCostsPerTP,timepoint,14635427.899804857,15841857.834110001
2025,GenVariableOMCostsInTP,timepoint,282795.38680960255,312228.95781
2025,FuelCostsPerTP,timepoint,14402399.45509184,15901412.758385006
2026,GenVariableOMCostsInTP,timepoint,231908.983280303,261167.18166
2026,FuelCostsPerTP,timepoint,11925565.81948585,13430124.054364225
2027,GenVariableOMCostsInTP,timepoint,241823.06567684334,277778.6896499999
2027,FuelCostsPerTP,timepoint,12086055.448124327,13883078.671674881
2028,GenVariableOMCostsInTP,timepoint,250030.73249957964,292950.8532719999
2028,FuelCostsPerTP,timepoint,12137850.23786739,14221426.09639788
2029,GenVariableOMCostsInTP,timepoint,259833.5342273697,310525.1258339998
2029,FuelCostsPerTP,timepoint,12239980.336878764,14627909.540686991
2030,GenVariableOMCostsInTP,timepoint,265971.2894989261,324217.5177780004
2030,FuelCostsPerTP,timepoint,12225659.948035372,14903011.257408483
