STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Battery_Utility_4h,186,0.0
Battery_Utility_4h,187,0.0
Battery_Utility_4h,188,0.0
Battery_Utility_4h,189,0.0
Battery_Utility_4h,190,0.0
Battery_Utility_4h,191,0.0
Battery_Utility_4h,192,0.0
Battery_Utility_4h,193,0.0
Battery_Utility_4h,194,0.0
Battery_Utility_4h,195,0.0
Battery_Utility_4h,196,0.0
Battery_Utility_4h,197,0.0
Battery_Utility_4h,198,0.0
Battery_Utility_4h,199,0.0
Battery_Utility_4h,200,0.0
Battery_Utility_4h,201,0.0
Battery_Utility_4h,202,0.0
Battery_Utility_4h,203,0.0
Battery_Utility_4h,204,0.0
Battery_Utility_4h,205,0.0
Battery_Utility_4h,206,0.0
Battery_Utility_4h,207,0.0
Battery_Utility_4h,208,0.0
Battery_Utility_4h,209,0.0
Battery_Utility_4h,210,0.0
Battery_Utility_4h,211,0.0
Battery_Utility_4h,212,0.0
Battery_Utility_4h,213,0.0
Battery_Utility_4h,214,0.0
Battery_Utility_4h,215,0.0
Battery_Utility_4h,216,0.0
Battery_Utility_4h,217,0.0
Battery_Utility_4h,218,0.0
Battery_Utility_4h,219,0.0
Battery_Utility_4h,220,0.0
Battery_Utility_4h,221,0.0
Battery_Utility_4h,222,0.0
Battery_Utility_4h,223,0.0
Battery_Utility_4h,224,0.0
Battery_Utility_4h,225,0.0
Battery_Utility_4h,226,0.0
Battery_Utility_4h,227,0.0
Battery_Utility_4h,228,0.0
Battery_Utility_4h,229,0.0
Battery_Utility_4h,230,0.0
Battery_Utility_4h,231,0.0
Battery_Utility_4h,232,0.0
Battery_Utility_4h,233,0.0
Battery_Utility_4h,234,0.0
Battery_Utility_4h,235,0.0
Battery_Utility_4h,236,0.0
Battery_Utility_4h,237,0.0
Battery_Utility_4h,238,0.0
Battery_Utility_4h,239,0.0
Battery_Utility_4h,240,0.0
Battery_Utility_4h,241,0.0
Battery_Utility_4h,242,0.0
Battery_Utility_4h,243,0.0
Battery_Utility_4h,244,0.0
Battery_Utility_4h,245,0.0
Battery_Utility_4h,246,0.0
Battery_Utility_4h,247,0.0
Battery_Utility_4h,248,0.0
Battery_Utility_4h,249,0.0
Battery_Utility_4h,250,0.0
Battery_Utility_4h,251,0.0
Battery_Utility_4h,252,0.0
Battery_Utility_4h,253,0.0
Battery_Utility_4h,254,0.0
Battery_Utility_4h,255,0.0
Battery_Utility_4h,256,0.0
Battery_Utility_4h,257,0.0
Battery_Utility_4h,258,0.0
Battery_Utility_4h,259,0.0
Battery_Utility_4h,260,0.0
Battery_Utility_4h,261,0.0
Battery_Utility_4h,262,0.0
Battery_Utility_4h,263,0.0
Battery_Utility_4h,264,0.0
Battery_Utility_4h,265,0.0
Battery_Utility_4h,266,0.0
Battery_Utility_4h,267,0.0
Battery_Utility_4h,268,0.0
Battery_Utility_4h,269,0.0
Battery_Utility_4h,270,0.0
Battery_Utility_4h,271,0.0
Battery_Utility_4h,272,0.0
Battery_Utility_4h,273,0.0
Battery_Utility_4h,274,0.0
Battery_Utility_4h,275,0.0
Battery_Utility_4h,276,0.0
Battery_Utility_4h,277,0.0
Battery_Utility_4h,278,0.0
Battery_Utility_4h,279,0.0
Battery_Utility_4h,280,0.0
Battery_Utility_4h,281,0.0
Battery_Utility_4h,282,0.0
Battery_Utility_4h,283,0.0
Battery_Utility_4h,284,0.0
Battery_Utility_4h,285,0.0
Battery_Utility_4h,286,0.0
Battery_Utility_4h,287,0.0
Battery_Utility_4h,288,0.0
Battery_Utility_4h,289,0.0
Battery_Utility_4h,290,0.0
Battery_Utility_4h,291,0.0
Battery_Utility_4h,292,0.0
Battery_Utility_4h,293,0.0
Battery_Utility_4h,294,0.0
Battery_Utility_4h,295,0.0
Battery_Utility_4h,296,0.0
Battery_Utility_4h,297,0.0
Battery_Utility_4h,298,0.0
Battery_Utility_4h,299,0.0
Battery_Utility_4h,300,0.0
Battery_Utility_4h,301,0.0
Battery_Utility_4h,302,0.0
Battery_Utility_4h,303,0.0
Battery_Utility_4h,304,0.0
Battery_Utility_4h,305,0.0
Battery_Utility_4h,306,0.0
Battery_Utility_4h,307,0.0
Battery_Utility_4h,308,0.0
Battery_Utility_4h,309,0.0
Battery_Utility_4h,310,0.0
Battery_Utility_4h,311,0.0
Battery_Utility_4h,312,0.0
Battery_Utility_4h,313,0.0
Battery_Utility_4h,314,0.0
Battery_Utility_4h,315,0.0
Battery_Utility_4h,316,0.0
Battery_Utility_4h,317,0.0
Battery_Utility_4h,318,0.0
Battery_Utility_4h,319,0.0
Battery_Utility_4h,320,0.0
Battery_Utility_4h,321,0.0
Battery_Utility_4h,322,0.0
Battery_Utility_4h,323,0.0
Battery_Utility_4h,324,0.0
Battery_Utility_4h,325,0.0
Battery_Utility_4h,326,0.0
Battery_Utility_4h,327,0.0
Battery_Utility_4h,328,0.0
Battery_Utility_4h,329,0.0
Battery_Utility_4h,330,0.0
Battery_Utility_4h,331,0.0
Battery_Utility_4h,332,0.0
Battery_Utility_4h,333,0.0
Battery_Utility_4h,334,0.0
Battery_Utility_4h,335,0.0
Battery_Utility_4h,336,0.0
Battery_Utility_4h,337,0.0
Battery_Utility_4h,338,0.0
Battery_Utility_4h,339,0.0
Battery_Utility_4h,340,0.0
Battery_Utility_4h,341,0.0
Battery_Utility_4h,342,0.0
Battery_Utility_4h,343,0.0
Battery_Utility_4h,344,0.0
Battery_Utility_4h,345,0.0
Battery_Utility_4h,346,0.0
Battery_Utility_4h,347,0.0
Battery_Utility_4h,348,0.0
Battery_Utility_4h,349,0.0
Battery_Utility_4h,350,0.0
Battery_Utility_4h,351,0.0
Battery_Utility_4h,352,0.0
Battery_Utility_4h,353,0.0
Battery_Utility_4h,354,0.0
Battery_Utility_4h,355,0.0
Battery_Utility_4h,356,0.0
Battery_Utility_4h,357,0.0
Battery_Utility_4h,358,0.0
Battery_Utility_4h,359,0.0
Battery_Utility_4h,360,0.0
Battery_Utility_4h,361,0.0
Battery_Utility_4h,362,0.0
Battery_Utility_4h,363,0.0
Battery_Utility_4h,364,0.0
Battery_Utility_4h,365,0.0
Battery_Utility_4h,366,0.0
Battery_Utility_4h,367,0.0
Battery_Utility_4h,368,0.0
Battery_Utility_4h,369,0.0
Battery_Utility_4h,370,0.0
Battery_Utility_4h,371,0.0
Battery_Utility_4h,372,0.0
Battery_Utility_4h,373,0.0
Battery_Utility_4h,374,0.0
Battery_Utility_4h,375,0.0
Battery_Utility_4h,376,0.0
Battery_Utility_4h,377,0.0
Battery_Utility_4h,378,0.0
Battery_Utility_4h,379,0.0
Battery_Utility_4h,380,0.0
Battery_Utility_4h,381,0.0
Battery_Utility_4h,382,0.0
Battery_Utility_4h,383,0.0
Battery_Utility_4h,384,0.0
Battery_Utility_4h,385,0.0
Battery_Utility_4h,386,0.0
Battery_Utility_4h,387,0.0
Battery_Utility_4h,388,0.0
Battery_Utility_4h,389,0.0
Battery_Utility_4h,390,0.0
Battery_Utility_4h,391,0.0
Battery_Utility_4h,392,0.0
Battery_Utility_4h,393,0.0
Battery_Utility_4h,394,0.0
Battery_Utility_4h,395,0.0
Battery_Utility_4h,396,0.0
Battery_Utility_4h,397,0.0
Battery_Utility_4h,398,0.0
Battery_Utility_4h,399,0.0
Battery_Utility_4h,400,0.0
Battery_Utility_4h,401,0.0
Battery_Utility_4h,402,0.0
Battery_Utility_4h,403,0.0
Battery_Utility_4h,404,0.0
Battery_Utility_4h,405,0.0
Battery_Utility_4h,406,0.0
Battery_Utility_4h,407,0.0
Battery_Utility_4h,408,0.0
Battery_Utility_4h,409,0.0
Battery_Utility_4h,410,0.0
Battery_Utility_4h,411,0.0
Battery_Utility_4h,412,0.0
Battery_Utility_4h,413,0.0
Battery_Utility_4h,414,0.0
Battery_Utility_4h,415,0.0
Battery_Utility_4h,416,0.0
Battery_Utility_4h,417,0.0
Battery_Utility_4h,418,0.0
Battery_Utility_4h,419,0.0
Battery_Utility_4h,420,0.0
Battery_Utility_4h,421,0.0
Battery_Utility_4h,422,0.0
Battery_Utility_4h,423,0.0
Battery_Utility_4h,424,0.0
Battery_Utility_4h,425,0.0
Battery_Utility_4h,426,0.0
Battery_Utility_4h,427,0.0
Battery_Utility_4h,428,0.0
Battery_Utility_4h,429,0.0
Battery_Utility_4h,430,0.0
Battery_Utility_4h,431,0.0
Battery_Utility_4h,432,0.0
Battery_Utility_4h,433,0.0
Battery_Utility_4h,434,0.0
Battery_Utility_4h,435,0.0
Battery_Utility_4h,436,0.0
Battery_Utility_4h,437,0.0
Battery_Utility_4h,438,0.0
Battery_Utility_4h,439,0.0
Battery_Utility_4h,440,0.0
Battery_Utility_4h,441,0.0
Battery_Utility_4h,442,0.0
Battery_Utility_4h,443,0.0
Battery_Utility_4h,444,0.0
Battery_Utility_4h,445,0.0
Battery_Utility_4h,446,0.0
Battery_Utility_4h,447,0.0
Battery_Utility_4h,448,0.0
Battery_Utility_4h,449,0.0
Battery_Utility_4h,450,0.0
Battery_Utility_4h,451,0.0
Battery_Utility_4h,452,0.0
Battery_Utility_4h,453,0.0
Battery_Utility_4h,454,0.0
Battery_Utility_4h,455,0.0
Battery_Utility_4h,456,0.0
Battery_Utility_4h,457,0.0
Battery_Utility_4h,458,0.0
Battery_Utility_4h,459,0.0
Battery_Utility_4h,460,0.0
Battery_Utility_4h,461,0.0
Battery_Utility_4h,462,0.0
Battery_Utility_4h,463,0.0
Battery_Utility_4h,464,0.0
Battery_Utility_4h,465,0.0
Battery_Utility_4h,466,0.0
Battery_Utility_4h,467,0.0
Battery_Utility_4h,468,0.0
Battery_Utility_4h,469,0.0
Battery_Utility_4h,470,0.0
Battery_Utility_4h,471,0.0
Battery_Utility_4h,472,0.0
Battery_Utility_4h,473,0.0
Battery_Utility_4h,474,0.0
Battery_Utility_4h,475,0.0
Battery_Utility_4h,476,0.0
Battery_Utility_4h,477,0.0
Battery_Utility_4h,478,0.0
Battery_Utility_4h,479,0.0
Battery_Utility_4h,480,0.0
Battery_Utility_4h,481,0.0
Battery_Utility_4h,482,0.0
Battery_Utility_4h,483,0.0
Battery_Utility_4h,484,0.0
Battery_Utility_4h,485,0.0
Battery_Utility_4h,486,0.0
Battery_Utility_4h,487,0.0
Battery_Utility_4h,488,0.0
Battery_Utility_4h,489,0.0
Battery_Utility_4h,490,0.0
Battery_Utility_4h,491,0.0
Battery_Utility_4h,492,0.0
Battery_Utility_4h,493,0.0
Battery_Utility_4h,494,0.0
Battery_Utility_4h,495,0.0
Battery_Utility_4h,496,0.0
Battery_Utility_4h,497,0.0
Battery_Utility_4h,498,0.0
Battery_Utility_4h,499,0.0
Battery_Utility_4h,500,0.0
