PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,54283378.27212311,55369045.83756546,112.3186372927417,492964.0099999997
2022,53688008.00282261,55857003.52613653,111.59147960766379,500549.0000000003
2023,38465283.75692631,40819666.84512018,80.31041477012306,508273.63999999955
2024,37978934.16537772,41109619.74312752,79.714560176765,515710.29999999976
2025,37625997.46184041,41542141.49886984,79.4042471109207,523172.7900000001
2026,37325293.32577676,42034342.6314951,79.15581918674243,531032.8800000001
2027,36956594.70467094,42451510.6623787,78.68127291719726,539537.6699999998
2028,36593395.652008265,42874995.29840291,78.35174177339591,547211.7699999999
2029,36002823.50041378,43026706.814765126,77.4389778330207,555620.7999999986
2030,41962032.66364462,51151483.66862042,90.87403607006618,562883.3700000001
