load_zone,fuel,period,fuel_cost
Menorca,diesel,2021,37.00
Menorca,fueloil,2021,14.15
Menorca,gas,2021,13.42
Menorca,cable,2021,19.85
Menorca,diesel,2022,37.00
Menorca,fueloil,2022,14.15
Menorca,gas,2022,13.42
Menorca,cable,2022,19.85
Menorca,diesel,2023,37.00
Menorca,fueloil,2023,14.15
Menorca,gas,2023,13.42
Menorca,cable,2023,19.85
Menorca,diesel,2024,37.00
Menorca,fueloil,2024,14.15
Menorca,gas,2024,13.42
Menorca,cable,2024,19.85
Menorca,diesel,2025,37.00
Menorca,fueloil,2025,14.15
Menorca,gas,2025,13.42
Menorca,cable,2025,19.85
Menorca,diesel,2026,37.00
Menorca,fueloil,2026,14.15
Menorca,gas,2026,13.42
Menorca,cable,2026,19.85
Menorca,diesel,2027,37.00
Menorca,fueloil,2027,14.15
Menorca,gas,2027,13.42
Menorca,cable,2027,19.85
Menorca,diesel,2028,37.00
Menorca,fueloil,2028,14.15
Menorca,gas,2028,13.42
Menorca,cable,2028,19.85
Menorca,diesel,2029,37.00
Menorca,fueloil,2029,14.15
Menorca,gas,2029,13.42
Menorca,cable,2029,19.85
Menorca,diesel,2030,37.00
Menorca,fueloil,2030,14.15
Menorca,gas,2030,13.42
Menorca,cable,2030,19.85
