TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2025W18,2025,1,24,7
2025W19,2025,1,24,7
2025W20,2025,1,24,7
2025W21,2025,1,24,7
2025W22,2025,1,24,7
2025W23,2025,1,24,7
2025W24,2025,1,24,7
2025W25,2025,1,24,7
2025W26,2025,1,24,7
2025W27,2025,1,24,7
2025W28,2025,1,24,7
2025W29,2025,1,24,7
2025W30,2025,1,24,7
2025W31,2025,1,24,7
2025W32,2025,1,24,7
2025W33,2025,1,24,7
2025W34,2025,1,24,7
2025W35,2025,1,24,7
2025W36,2025,1,24,7
2025W37,2025,1,24,7
2025W38,2025,1,24,7
2025W39,2025,1,24,7
2025W40,2025,1,24,7
2025W41,2025,1,24,7
2025W42,2025,1,24,7
2025W43,2025,1,24,7
2025W44,2025,1,24,7
2025W45,2025,1,24,7
2025W46,2025,1,24,7
2025W47,2025,1,24,7
2025W48,2025,1,24,7
2025W49,2025,1,24,7
2025W50,2025,1,24,7
2025W51,2025,1,24,7
2025W52,2025,1,24,7
2026W01,2026,1,24,7
2026W02,2026,1,24,7
2026W03,2026,1,24,7
2026W04,2026,1,24,7
2026W05,2026,1,24,7
2026W06,2026,1,24,7
2026W07,2026,1,24,7
2026W08,2026,1,24,7
2026W09,2026,1,24,7
2026W10,2026,1,24,7
2026W11,2026,1,24,7
2026W12,2026,1,24,7
2026W13,2026,1,24,7
2026W14,2026,1,24,7
2026W15,2026,1,24,7
2026W16,2026,1,24,7
2026W17,2026,1,24,7
2026W18,2026,1,24,7
2026W19,2026,1,24,7
2026W20,2026,1,24,7
2026W21,2026,1,24,7
2026W22,2026,1,24,7
2026W23,2026,1,24,7
2026W24,2026,1,24,7
2026W25,2026,1,24,7
2026W26,2026,1,24,7
2026W27,2026,1,24,7
2026W28,2026,1,24,7
2026W29,2026,1,24,7
2026W30,2026,1,24,7
2026W31,2026,1,24,7
2026W32,2026,1,24,7
2026W33,2026,1,24,7
2026W34,2026,1,24,7
2026W35,2026,1,24,7
2026W36,2026,1,24,7
2026W37,2026,1,24,7
2026W38,2026,1,24,7
2026W39,2026,1,24,7
2026W40,2026,1,24,7
2026W41,2026,1,24,7
2026W42,2026,1,24,7
2026W43,2026,1,24,7
2026W44,2026,1,24,7
2026W45,2026,1,24,7
2026W46,2026,1,24,7
2026W47,2026,1,24,7
2026W48,2026,1,24,7
2026W49,2026,1,24,7
2026W50,2026,1,24,7
2026W51,2026,1,24,7
2026W52,2026,1,24,7
2027W01,2027,1,24,7
2027W02,2027,1,24,7
2027W03,2027,1,24,7
2027W04,2027,1,24,7
2027W05,2027,1,24,7
2027W06,2027,1,24,7
2027W07,2027,1,24,7
2027W08,2027,1,24,7
2027W09,2027,1,24,7
2027W10,2027,1,24,7
2027W11,2027,1,24,7
2027W12,2027,1,24,7
2027W13,2027,1,24,7
2027W14,2027,1,24,7
2027W15,2027,1,24,7
2027W16,2027,1,24,7
2027W17,2027,1,24,7
2027W18,2027,1,24,7
2027W19,2027,1,24,7
2027W20,2027,1,24,7
2027W21,2027,1,24,7
2027W22,2027,1,24,7
2027W23,2027,1,24,7
2027W24,2027,1,24,7
2027W25,2027,1,24,7
2027W26,2027,1,24,7
2027W27,2027,1,24,7
2027W28,2027,1,24,7
2027W29,2027,1,24,7
2027W30,2027,1,24,7
2027W31,2027,1,24,7
2027W32,2027,1,24,7
2027W33,2027,1,24,7
2027W34,2027,1,24,7
2027W35,2027,1,24,7
2027W36,2027,1,24,7
2027W37,2027,1,24,7
2027W38,2027,1,24,7
2027W39,2027,1,24,7
2027W40,2027,1,24,7
2027W41,2027,1,24,7
2027W42,2027,1,24,7
2027W43,2027,1,24,7
2027W44,2027,1,24,7
2027W45,2027,1,24,7
2027W46,2027,1,24,7
2027W47,2027,1,24,7
2027W48,2027,1,24,7
2027W49,2027,1,24,7
2027W50,2027,1,24,7
2027W51,2027,1,24,7
2027W52,2027,1,24,7
2028W01,2028,1,24,7
2028W02,2028,1,24,7
2028W03,2028,1,24,7
2028W04,2028,1,24,7
2028W05,2028,1,24,7
2028W06,2028,1,24,7
2028W07,2028,1,24,7
2028W08,2028,1,24,7
2028W09,2028,1,24,7
2028W10,2028,1,24,7
2028W11,2028,1,24,7
2028W12,2028,1,24,7
2028W13,2028,1,24,7
2028W14,2028,1,24,7
2028W15,2028,1,24,7
2028W16,2028,1,24,7
2028W17,2028,1,24,7
2028W18,2028,1,24,7
2028W19,2028,1,24,7
2028W20,2028,1,24,7
2028W21,2028,1,24,7
2028W22,2028,1,24,7
2028W23,2028,1,24,7
2028W24,2028,1,24,7
2028W25,2028,1,24,7
2028W26,2028,1,24,7
2028W27,2028,1,24,7
2028W28,2028,1,24,7
2028W29,2028,1,24,7
2028W30,2028,1,24,7
2028W31,2028,1,24,7
2028W32,2028,1,24,7
2028W33,2028,1,24,7
2028W34,2028,1,24,7
2028W35,2028,1,24,7
2028W36,2028,1,24,7
2028W37,2028,1,24,7
2028W38,2028,1,24,7
2028W39,2028,1,24,7
2028W40,2028,1,24,7
2028W41,2028,1,24,7
