STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Battery_Utility_1h,186,0.0
Battery_Utility_1h,187,0.0
Battery_Utility_1h,188,0.0
Battery_Utility_1h,189,0.0
Battery_Utility_1h,190,0.0
Battery_Utility_1h,191,0.0
Battery_Utility_1h,192,0.0
Battery_Utility_1h,193,0.0
Battery_Utility_1h,194,0.0
Battery_Utility_1h,195,0.0
Battery_Utility_1h,196,0.0
Battery_Utility_1h,197,0.0
Battery_Utility_1h,198,0.0
Battery_Utility_1h,199,0.0
Battery_Utility_1h,200,0.0
Battery_Utility_1h,201,0.0
Battery_Utility_1h,202,0.0
Battery_Utility_1h,203,0.0
Battery_Utility_1h,204,0.0
Battery_Utility_1h,205,0.0
Battery_Utility_1h,206,0.0
Battery_Utility_1h,207,0.0
Battery_Utility_1h,208,0.0
Battery_Utility_1h,209,0.0
Battery_Utility_1h,210,0.0
Battery_Utility_1h,211,0.0
Battery_Utility_1h,212,0.0
Battery_Utility_1h,213,0.0
Battery_Utility_1h,214,0.0
Battery_Utility_1h,215,0.0
Battery_Utility_1h,216,0.0
Battery_Utility_1h,217,0.0
Battery_Utility_1h,218,0.0
Battery_Utility_1h,219,0.0
Battery_Utility_1h,220,0.0
Battery_Utility_1h,221,0.0
Battery_Utility_1h,222,0.0
Battery_Utility_1h,223,0.0
Battery_Utility_1h,224,0.0
Battery_Utility_1h,225,0.0
Battery_Utility_1h,226,0.0
Battery_Utility_1h,227,0.0
Battery_Utility_1h,228,0.0
Battery_Utility_1h,229,0.0
Battery_Utility_1h,230,0.0
Battery_Utility_1h,231,0.0
Battery_Utility_1h,232,0.0
Battery_Utility_1h,233,0.0
Battery_Utility_1h,234,0.0
Battery_Utility_1h,235,0.0
Battery_Utility_1h,236,0.0
Battery_Utility_1h,237,0.0
Battery_Utility_1h,238,0.0
Battery_Utility_1h,239,0.0
Battery_Utility_1h,240,0.0
Battery_Utility_1h,241,0.0
Battery_Utility_1h,242,0.0
Battery_Utility_1h,243,0.0
Battery_Utility_1h,244,0.0
Battery_Utility_1h,245,0.0
Battery_Utility_1h,246,0.0
Battery_Utility_1h,247,0.0
Battery_Utility_1h,248,0.0
Battery_Utility_1h,249,0.0
Battery_Utility_1h,250,0.0
Battery_Utility_1h,251,0.0
Battery_Utility_1h,252,0.0
Battery_Utility_1h,253,0.0
Battery_Utility_1h,254,0.0
Battery_Utility_1h,255,0.0
Battery_Utility_1h,256,0.0
Battery_Utility_1h,257,0.0
Battery_Utility_1h,258,0.0
Battery_Utility_1h,259,0.0
Battery_Utility_1h,260,0.0
Battery_Utility_1h,261,0.0
Battery_Utility_1h,262,0.0
Battery_Utility_1h,263,0.0
Battery_Utility_1h,264,0.0
Battery_Utility_1h,265,0.0
Battery_Utility_1h,266,0.0
Battery_Utility_1h,267,0.0
Battery_Utility_1h,268,0.0
Battery_Utility_1h,269,0.0
Battery_Utility_1h,270,0.0
Battery_Utility_1h,271,0.0
Battery_Utility_1h,272,0.0
Battery_Utility_1h,273,0.0
Battery_Utility_1h,274,0.0
Battery_Utility_1h,275,0.0
Battery_Utility_1h,276,0.0
Battery_Utility_1h,277,0.0
Battery_Utility_1h,278,0.0
Battery_Utility_1h,279,0.0
Battery_Utility_1h,280,0.0
Battery_Utility_1h,281,0.0
Battery_Utility_1h,282,0.0
Battery_Utility_1h,283,0.0
Battery_Utility_1h,284,0.0
Battery_Utility_1h,285,0.0
Battery_Utility_1h,286,0.0
Battery_Utility_1h,287,0.0
Battery_Utility_1h,288,0.0
Battery_Utility_1h,289,0.0
Battery_Utility_1h,290,0.0
Battery_Utility_1h,291,0.0
Battery_Utility_1h,292,0.0
Battery_Utility_1h,293,0.0
Battery_Utility_1h,294,0.0
Battery_Utility_1h,295,0.0
Battery_Utility_1h,296,0.0
Battery_Utility_1h,297,0.0
Battery_Utility_1h,298,0.0
Battery_Utility_1h,299,0.0
Battery_Utility_1h,300,0.0
Battery_Utility_1h,301,0.0
Battery_Utility_1h,302,0.0
Battery_Utility_1h,303,0.0
Battery_Utility_1h,304,0.0
Battery_Utility_1h,305,0.0
Battery_Utility_1h,306,0.0
Battery_Utility_1h,307,0.0
Battery_Utility_1h,308,0.0
Battery_Utility_1h,309,0.0
Battery_Utility_1h,310,0.0
Battery_Utility_1h,311,0.0
Battery_Utility_1h,312,0.0
Battery_Utility_1h,313,0.0
Battery_Utility_1h,314,0.0
Battery_Utility_1h,315,0.0
Battery_Utility_1h,316,0.0
Battery_Utility_1h,317,0.0
Battery_Utility_1h,318,0.0
Battery_Utility_1h,319,0.0
Battery_Utility_1h,320,0.0
Battery_Utility_1h,321,0.0
Battery_Utility_1h,322,0.0
Battery_Utility_1h,323,0.0
Battery_Utility_1h,324,0.0
Battery_Utility_1h,325,0.0
Battery_Utility_1h,326,0.0
Battery_Utility_1h,327,0.0
Battery_Utility_1h,328,0.0
Battery_Utility_1h,329,0.0
Battery_Utility_1h,330,0.0
Battery_Utility_1h,331,0.0
Battery_Utility_1h,332,0.0
Battery_Utility_1h,333,0.0
Battery_Utility_1h,334,0.0
Battery_Utility_1h,335,0.0
Battery_Utility_1h,336,0.0
Battery_Utility_1h,337,0.0
Battery_Utility_1h,338,0.0
Battery_Utility_1h,339,0.0
Battery_Utility_1h,340,0.0
Battery_Utility_1h,341,0.0
Battery_Utility_1h,342,0.0
Battery_Utility_1h,343,0.0
Battery_Utility_1h,344,0.0
Battery_Utility_1h,345,0.0
Battery_Utility_1h,346,0.0
Battery_Utility_1h,347,0.0
Battery_Utility_1h,348,0.0
Battery_Utility_1h,349,0.0
Battery_Utility_1h,350,0.0
Battery_Utility_1h,351,0.0
Battery_Utility_1h,352,0.0
Battery_Utility_1h,353,0.0
Battery_Utility_1h,354,0.0
Battery_Utility_1h,355,0.0
Battery_Utility_1h,356,0.0
Battery_Utility_1h,357,0.0
Battery_Utility_1h,358,0.0
Battery_Utility_1h,359,0.0
Battery_Utility_1h,360,0.0
Battery_Utility_1h,361,0.0
Battery_Utility_1h,362,0.0
Battery_Utility_1h,363,0.0
Battery_Utility_1h,364,0.0
Battery_Utility_1h,365,0.0
Battery_Utility_1h,366,0.0
Battery_Utility_1h,367,0.0
Battery_Utility_1h,368,0.0
