PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,54103248.797138125,55185313.77308077,111.94592841185467,492964.0099999997
2022,53511410.47832752,55673271.46165184,111.22441851177769,500549.0000000003
2023,38292148.928989954,40635934.78063549,79.94893219454687,508273.63999999955
2024,37809194.13798913,40925887.678642824,79.35829026227097,515710.29999999976
2025,37518347.48982897,41423287.23130698,79.1770673534206,523172.7900000001
2026,37178558.65096538,41869095.555119604,78.84463868813471,531032.8800000001
2027,36819977.94960537,42294580.953874126,78.39041332160207,539537.6699999998
2028,36463725.89033178,42723066.50570234,78.07410009785123,547211.7699999999
2029,35872532.9916848,42870997.59602109,77.15873415109945,555620.7999999986
2030,36569954.273225985,44578570.19852581,79.19681513867748,562883.3700000001
