PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2021,TotalGenFixedCosts,annual,38220768.52086835,38985183.891285636
2021,StorageEnergyInstallCosts,annual,98274.8005548182,100240.29656591435
2022,TotalGenFixedCosts,annual,37898333.29597585,39429425.9611332
2022,StorageEnergyInstallCosts,annual,96347.84368119431,100240.29656591435
2023,TotalGenFixedCosts,annual,23106448.31905222,24520747.807764716
2023,StorageEnergyInstallCosts,annual,94458.67027568069,100240.29656591435
2024,TotalGenFixedCosts,annual,24214466.883473814,26210517.69192697
2024,StorageEnergyInstallCosts,annual,92606.53948596148,100240.29656591435
2025,TotalGenFixedCosts,annual,23789104.462734886,26265093.56262498
2025,StorageEnergyInstallCosts,annual,90790.72498623673,100240.29656591435
2026,TotalGenFixedCosts,annual,25555417.148204345,28779550.40092246
2026,StorageEnergyInstallCosts,annual,89010.51469238896,100240.29656591435
2027,TotalGenFixedCosts,annual,25054330.537455242,28779550.40092246
2027,StorageEnergyInstallCosts,annual,87265.21048273427,100240.29656591435
2028,TotalGenFixedCosts,annual,24668394.28452888,28902955.577730875
2028,StorageEnergyInstallCosts,annual,85554.12792424927,100240.29656591435
2029,TotalGenFixedCosts,annual,24210664.439662397,28933985.153248917
2029,StorageEnergyInstallCosts,annual,83876.59600416596,100240.29656591435
2030,TotalGenFixedCosts,annual,28600102.081949502,34863364.84917681
2030,StorageEnergyInstallCosts,annual,82231.95686682937,100240.29656591435
2021,GenVariableOMCostsInTP,timepoint,0.0,0.0
2021,FuelCostsPerTP,timepoint,15784205.475714833,16099889.585229095
2022,GenVariableOMCostsInTP,timepoint,0.0,0.0
2022,FuelCostsPerTP,timepoint,15516729.338670535,16143605.203952793
2023,GenVariableOMCostsInTP,timepoint,346260.5994300841,367454.5182
2023,FuelCostsPerTP,timepoint,14744981.340231922,15647492.158104805
2024,GenVariableOMCostsInTP,timepoint,309709.7525539158,335239.7964299999
2024,FuelCostsPerTP,timepoint,13192410.962475305,14279889.893719792
2025,GenVariableOMCostsInTP,timepoint,318378.12834956544,351515.17966950015
2025,FuelCostsPerTP,timepoint,13320074.17375829,14706438.192446599
2026,GenVariableOMCostsInTP,timepoint,264551.22786348185,297927.65078999987
2026,FuelCostsPerTP,timepoint,11269579.760205269,12691377.206841348
2027,GenVariableOMCostsInTP,timepoint,275670.1090199237,316658.30323050026
2027,FuelCostsPerTP,timepoint,11402712.092647564,13098131.95315536
2028,GenVariableOMCostsInTP,timepoint,283232.7603941737,331852.32072299987
2028,FuelCostsPerTP,timepoint,11426544.717484523,13388018.310682597
2029,GenVariableOMCostsInTP,timepoint,289148.3879306159,345559.0896449995
2029,FuelCostsPerTP,timepoint,11288843.568087624,13491213.056561267
2030,GenVariableOMCostsInTP,timepoint,197180.3972581221,240361.80398999987
2030,FuelCostsPerTP,timepoint,7690439.837151679,9374603.248793267
