PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2021,TotalGenFixedCosts,annual,38220768.52086835,38985183.891285636
2021,StorageEnergyInstallCosts,annual,96735.30747075636,98670.01362017129
2022,TotalGenFixedCosts,annual,37898333.29597585,39429425.9611332
2022,StorageEnergyInstallCosts,annual,94838.53673603565,98670.01362017129
2023,TotalGenFixedCosts,annual,23106448.31905222,24520747.807764716
2023,StorageEnergyInstallCosts,annual,92978.95758434867,98670.01362017129
2024,TotalGenFixedCosts,annual,24214466.883473814,26210517.69192697
2024,StorageEnergyInstallCosts,annual,91155.8407689693,98670.01362017129
2025,TotalGenFixedCosts,annual,24485904.393128976,27034416.989444192
2025,StorageEnergyInstallCosts,annual,89368.47134212677,98670.01362017129
2026,TotalGenFixedCosts,annual,25571388.97148544,28797537.268068753
2026,StorageEnergyInstallCosts,annual,87616.14837463407,98670.01362017129
2027,TotalGenFixedCosts,annual,25069989.187730823,28797537.268068753
2027,StorageEnergyInstallCosts,annual,85898.1846810138,98670.01362017129
2028,TotalGenFixedCosts,annual,24789071.032607116,29044347.621685587
2028,StorageEnergyInstallCosts,annual,84213.90655001353,98670.01362017129
2029,TotalGenFixedCosts,annual,24640673.91099321,29447886.27687358
2029,StorageEnergyInstallCosts,annual,82562.65348040541,98670.01362017129
2030,TotalGenFixedCosts,annual,25012029.808726218,30489524.76957973
2030,StorageEnergyInstallCosts,annual,80943.77792196609,98670.01362017129
2021,GenVariableOMCostsInTP,timepoint,0.0,0.0
2021,FuelCostsPerTP,timepoint,15784205.475714833,16099889.585229095
2022,GenVariableOMCostsInTP,timepoint,0.0,0.0
2022,FuelCostsPerTP,timepoint,15516729.338670535,16143605.203952793
2023,GenVariableOMCostsInTP,timepoint,346260.5994300841,367454.5182
2023,FuelCostsPerTP,timepoint,14834121.98215133,15742088.920434816
2024,GenVariableOMCostsInTP,timepoint,309709.7525539158,335239.7964299999
2024,FuelCostsPerTP,timepoint,13313905.917747153,14411399.940583803
2025,GenVariableOMCostsInTP,timepoint,299575.06998705206,330755.08388999995
2025,FuelCostsPerTP,timepoint,12741231.982571905,14067349.641075488
2026,GenVariableOMCostsInTP,timepoint,264551.22786348185,297927.6507899998
2026,FuelCostsPerTP,timepoint,11444708.300303321,12888600.387240343
2027,GenVariableOMCostsInTP,timepoint,275670.1090199236,316658.3032305001
2027,FuelCostsPerTP,timepoint,11622374.844807368,13350455.408277722
2028,GenVariableOMCostsInTP,timepoint,280618.78057191515,328789.62674250006
2028,FuelCostsPerTP,timepoint,11582052.50218313,13570220.4654436
2029,GenVariableOMCostsInTP,timepoint,278570.85419231147,332917.9576800001
2029,FuelCostsPerTP,timepoint,11181062.397375051,13362404.580405258
2030,GenVariableOMCostsInTP,timepoint,279252.27555140486,340406.96566800016
2030,FuelCostsPerTP,timepoint,10988000.411081444,13394311.188008351
