PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,54101709.30405407,55183743.49013503,111.94274302120972,492964.0099999997
2022,53509901.17138236,55671701.178706095,111.22128139044541,500549.0000000003
2023,38379809.85821806,40728961.26001979,80.13195659727666,508273.63999999955
2024,37929238.39454388,41055827.44256098,79.61025297063293,515710.29999999976
2025,37616079.917030014,41531191.7280298,79.38331756135443,523172.7900000001
2026,37368264.6480269,42082735.31971929,79.2469485500018,531032.8800000001
2027,37053932.32623899,42563320.99319699,78.88850651187525,539537.6699999998
2028,36735956.22191198,43042027.72749163,78.65698452994101,547211.7699999999
2029,36182869.81604096,43241878.82857899,77.82624197758453,555620.7999999986
2030,36360226.273280986,44322912.9368762,78.74262289340008,562883.3700000001
