PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,54100578.6317837,55182590.20441926,111.94040352848333,492964.0099999997
2022,53419620.49882995,55577773.16698257,111.03363140668054,500549.0000000003
2023,39067875.53705585,41459142.06292788,81.56854654695042,508273.63999999955
2024,39085794.74996299,42307721.23651901,82.03776662308088,515710.29999999976
2025,39155910.493550204,43231289.107746124,82.63290815974224,523172.7900000001
2026,39272993.43782218,44227769.30167693,83.2863104478143,531032.8800000001
2027,39451306.678585276,45317150.55172714,83.9925608006706,539537.6699999998
2028,39703497.942225315,46518975.822612345,85.01091967121313,547211.7699999999
2029,39879942.43553993,47660222.84179922,85.7783273084797,555620.7999999986
2030,40758276.61780802,49684111.76571066,88.26715162274319,562883.3700000001
