load_zone,fuel,period,fuel_cost
Menorca,diesel,2021,39.35
Menorca,fueloil,2021,16.60
Menorca,gas,2021,15.20
Menorca,cable,2021,21.54
Menorca,diesel,2022,39.35
Menorca,fueloil,2022,16.60
Menorca,gas,2022,15.20
Menorca,cable,2022,21.54
Menorca,diesel,2023,39.35
Menorca,fueloil,2023,16.60
Menorca,gas,2023,15.20
Menorca,cable,2023,21.54
Menorca,diesel,2024,39.35
Menorca,fueloil,2024,16.60
Menorca,gas,2024,15.20
Menorca,cable,2024,21.54
Menorca,diesel,2025,39.35
Menorca,fueloil,2025,16.60
Menorca,gas,2025,15.20
Menorca,cable,2025,21.54
Menorca,diesel,2026,39.35
Menorca,fueloil,2026,16.60
Menorca,gas,2026,15.20
Menorca,cable,2026,21.54
Menorca,diesel,2027,39.35
Menorca,fueloil,2027,16.60
Menorca,gas,2027,15.20
Menorca,cable,2027,21.54
Menorca,diesel,2028,39.35
Menorca,fueloil,2028,16.60
Menorca,gas,2028,15.20
Menorca,cable,2028,21.54
Menorca,diesel,2029,39.35
Menorca,fueloil,2029,16.60
Menorca,gas,2029,15.20
Menorca,cable,2029,21.54
Menorca,diesel,2030,39.35
Menorca,fueloil,2030,16.60
Menorca,gas,2030,15.20
Menorca,cable,2030,21.54
