PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2021,TotalGenFixedCosts,annual,42395761.685655236,43243676.91936825
2021,StorageEnergyInstallCosts,annual,109572.63393501878,111764.08661371892
2022,TotalGenFixedCosts,annual,42418455.45853851,44132161.059063375
2022,StorageEnergyInstallCosts,annual,107424.15091668506,111764.08661371892
2023,TotalGenFixedCosts,annual,26943855.221909896,28593034.7123325
2023,StorageEnergyInstallCosts,annual,105317.79501635791,111764.08661371892
2024,TotalGenFixedCosts,annual,28029457.4997981,30339986.225134593
2024,StorageEnergyInstallCosts,annual,103252.7402121156,111764.08661371892
2025,TotalGenFixedCosts,annual,28007733.385450415,30922800.772019483
2025,StorageEnergyInstallCosts,annual,101228.17667854471,111764.08661371892
2026,TotalGenFixedCosts,annual,27804457.3404125,31312334.94480156
2026,StorageEnergyInstallCosts,annual,99243.31046916147,111764.08661371892
2027,TotalGenFixedCosts,annual,27369471.10221313,31438919.1862533
2027,StorageEnergyInstallCosts,annual,97297.36320506026,111764.08661371892
2028,TotalGenFixedCosts,annual,27043465.0664133,31685729.539870135
2028,StorageEnergyInstallCosts,annual,95389.57176966693,111764.08661371892
2029,TotalGenFixedCosts,annual,26227466.272216532,31344250.035718217
2029,StorageEnergyInstallCosts,annual,93519.18800947738,111764.08661371892
2030,TotalGenFixedCosts,annual,26365928.687090475,32139919.94754292
2030,StorageEnergyInstallCosts,annual,91685.4784406641,111764.08661371892
2021,GenVariableOMCostsInTP,timepoint,117543.57094117638,119894.44235999965
2021,FuelCostsPerTP,timepoint,17007591.921569493,17347743.760000847
2022,GenVariableOMCostsInTP,timepoint,114022.4659169549,118628.97353999964
2022,FuelCostsPerTP,timepoint,16280790.908937488,16938534.86165853
2023,GenVariableOMCostsInTP,timepoint,236907.44633003202,251408.07730500013
2023,FuelCostsPerTP,timepoint,15145902.795545818,16072953.213855555
2024,GenVariableOMCostsInTP,timepoint,217717.22175826746,235664.12261699996
2024,FuelCostsPerTP,timepoint,13715290.045395939,14845871.028864393
2025,GenVariableOMCostsInTP,timepoint,227419.44502635882,251089.44352799995
2025,FuelCostsPerTP,timepoint,13941565.26890722,15392614.579960274
2026,GenVariableOMCostsInTP,timepoint,228056.52770126174,256828.69096499984
2026,FuelCostsPerTP,timepoint,13743778.000990255,15477726.283422496
2027,GenVariableOMCostsInTP,timepoint,236086.55443135617,271189.2413999999
2027,FuelCostsPerTP,timepoint,13821217.51639334,15876234.470544174
2028,GenVariableOMCostsInTP,timepoint,242195.46943434718,283770.5937989998
2028,FuelCostsPerTP,timepoint,13777802.041722406,16142891.011776192
2029,GenVariableOMCostsInTP,timepoint,254215.06146861045,303810.5307929997
2029,FuelCostsPerTP,timepoint,14045296.39081952,16785429.34076614
2030,GenVariableOMCostsInTP,timepoint,260664.785889149,317748.9194880001
2030,FuelCostsPerTP,timepoint,14046532.572500303,17122644.826152436
