PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,59630469.81210141,60823079.20834331,123.38239298309698,492964.0099999997
2022,58920692.9843102,61301088.980876215,122.46770841790949,500549.0000000003
2023,42431983.258802004,45029160.090106666,88.59235763260654,508273.63999999955
2024,42065717.507164486,45533285.463229775,88.2923716342873,515710.29999999976
2025,42277946.27606251,46678268.882121444,89.22151490738162,523172.7900000001
2026,41875535.179573216,47158654.00580282,88.80552557461753,531032.8800000001
2027,41524072.53624287,47698106.98481118,88.40551760697487,539537.6699999998
2028,41158852.149339765,48224155.2320591,88.12704308618784,547211.7699999999
2029,40620496.91251413,48545253.99389106,87.3711963157088,555620.7999999986
2030,40764811.523920596,49692077.77979708,88.28130378020774,562883.3700000001
