PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,55398326.937382184,56506293.47612971,114.62559604732553,492964.0099999997
2022,54751132.98128095,56963078.75372459,113.80120378569242,500549.0000000003
2023,39333923.91429475,41741474.72924082,82.12402029985434,508273.63999999955
2024,38914678.10047419,42122499.07200089,81.6786072956094,515710.29999999976
2025,38528247.26778977,42538298.18930945,81.3083153451261,523172.7900000001
2026,38166325.063411325,42981480.96782745,80.93939676169852,531032.8800000001
2027,37818440.96933185,43441501.114311755,80.51615953768672,539537.6699999998
2028,37459867.064846255,43890204.65762483,80.20698212983402,547211.7699999999
2029,36838375.058175996,44025268.27214754,79.2361773931927,555620.7999999986
2030,36964140.960382365,45059081.57060566,80.05047576837391,562883.3700000001
