PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2021,54101709.30405407,55183743.49013503,111.94274302120972,492964.0099999997
2022,53430930.021492414,55589539.5943606,111.05713845070225,500549.0000000003
2023,38689070.42610654,41057151.04874759,80.77765167744609,508273.63999999955
2024,38454341.2620396,41624215.67364656,80.71239933281647,515710.29999999976
2025,38307887.731162615,42295003.45511735,80.84327828883713,523172.7900000001
2026,38149755.52944848,42962820.98137377,80.90425772011285,531032.8800000001
2027,38056323.43315482,43714753.291090295,81.02261569815933,539537.6699999998
2028,37904244.97880818,44410864.20922854,81.15845938260529,547211.7699999999
2029,37563528.80022428,44891894.1203781,80.79592074374862,555620.7999999986
2030,37984227.70132851,46302561.61572964,82.25960133753752,562883.3700000001
